Disease,Temperature (Â°C),Humidity (%),Rainfall (mm),Cloud Cover (%),Wind Speed (km/h),Leaf Wetness (hrs),Risk Label
Late Blight,15.6,96.4,2.4,75.1,7.1,7.5,High Risk
Late Blight,24.3,90.8,13.6,78.4,1.5,10.3,High Risk
Late Blight,21.0,91.6,8.1,75.3,5.8,13.0,High Risk
Late Blight,19.0,99.0,12.6,72.7,6.1,11.9,High Risk
Late Blight,12.3,96.1,5.5,73.6,4.2,12.5,High Risk
Late Blight,12.3,90.1,13.5,83.8,7.4,11.3,High Risk
Late Blight,10.9,91.0,6.4,76.2,9.3,11.5,High Risk
Late Blight,23.0,96.6,1.2,80.9,9.3,12.8,High Risk
Late Blight,19.0,90.1,13.7,85.1,4.5,8.0,High Risk
Late Blight,20.6,91.6,2.3,90.7,1.1,9.9,High Risk
Late Blight,10.3,95.5,5.5,71.2,9.8,7.8,High Risk
Late Blight,24.5,96.9,14.3,94.0,8.4,13.9,High Risk
Late Blight,22.5,96.5,14.3,88.8,1.2,13.6,High Risk
Late Blight,13.2,92.2,9.0,72.5,9.2,6.3,High Risk
Late Blight,12.7,97.1,9.8,96.2,8.7,11.6,High Risk
Late Blight,12.8,92.4,7.3,97.6,5.2,13.4,High Risk
Late Blight,14.6,93.3,5.1,71.8,5.9,7.4,High Risk
Late Blight,17.9,97.5,5.6,78.3,4.0,10.5,High Risk
Late Blight,16.5,96.5,10.4,94.2,0.5,13.3,High Risk
Late Blight,14.4,98.5,11.5,92.4,3.4,6.3,High Risk
Late Blight,19.2,96.6,12.1,75.5,8.0,11.6,High Risk
Late Blight,12.1,95.7,12.1,76.3,0.0,8.4,High Risk
Late Blight,14.4,90.9,2.3,81.1,3.3,13.4,High Risk
Late Blight,15.5,93.7,7.9,84.5,4.0,13.8,High Risk
Late Blight,16.8,92.7,1.8,88.5,5.4,13.6,High Risk
Late Blight,21.8,92.4,8.7,81.1,9.2,9.8,High Risk
Late Blight,13.0,99.7,7.2,83.9,3.5,12.9,High Risk
Late Blight,17.7,93.9,13.4,92.4,3.5,12.8,High Risk
Late Blight,18.9,98.9,5.9,71.1,7.4,8.6,High Risk
Late Blight,10.7,96.3,2.6,77.6,4.5,12.6,High Risk
Late Blight,19.1,97.9,3.0,91.4,2.2,6.3,High Risk
Late Blight,12.6,95.0,11.7,96.9,4.5,10.8,High Risk
Late Blight,11.0,95.8,9.7,85.4,1.4,7.8,High Risk
Late Blight,24.2,94.9,2.4,86.0,1.8,7.0,High Risk
Late Blight,24.5,92.0,2.2,73.2,5.0,6.6,High Risk
Late Blight,22.1,97.2,10.8,83.4,4.2,11.6,High Risk
Late Blight,14.6,92.8,2.0,86.0,9.1,8.7,High Risk
Late Blight,11.5,90.2,12.5,77.3,3.6,11.8,High Risk
Late Blight,20.3,96.5,10.9,78.1,5.8,6.5,High Risk
Late Blight,16.6,91.8,2.1,81.3,6.3,8.5,High Risk
Late Blight,11.8,99.4,2.2,70.6,0.1,10.3,High Risk
Late Blight,17.4,99.5,14.8,79.7,6.6,12.3,High Risk
Late Blight,10.5,99.1,6.2,76.3,1.8,8.6,High Risk
Late Blight,23.6,93.7,6.2,79.8,9.6,11.0,High Risk
Late Blight,13.9,90.2,12.4,73.6,1.5,13.1,High Risk
Late Blight,19.9,99.3,14.3,96.7,4.1,10.9,High Risk
Late Blight,14.7,94.3,14.8,87.8,0.9,7.9,High Risk
Late Blight,17.8,99.7,11.5,90.4,10.0,6.2,High Risk
Late Blight,18.2,99.6,6.3,93.7,5.0,13.0,High Risk
Late Blight,12.8,98.5,2.2,85.0,6.0,6.2,High Risk
Late Blight,24.5,92.9,11.9,72.6,0.7,13.0,High Risk
Late Blight,21.6,93.9,8.8,86.1,7.5,10.2,High Risk
Late Blight,24.1,98.5,6.9,87.6,2.1,13.5,High Risk
Late Blight,23.4,93.2,13.7,92.4,9.0,12.4,High Risk
Late Blight,19.0,91.7,2.6,82.9,2.1,14.0,High Risk
Late Blight,23.8,95.6,7.9,73.8,1.9,8.8,High Risk
Late Blight,11.3,99.4,1.2,78.5,0.4,12.1,High Risk
Late Blight,12.9,97.0,7.6,80.9,4.7,9.2,High Risk
Late Blight,10.7,95.7,1.8,89.4,5.6,9.8,High Risk
Late Blight,14.9,91.0,2.7,87.1,0.7,11.0,High Risk
Late Blight,15.8,96.2,2.6,80.7,7.8,13.0,High Risk
Late Blight,14.1,99.9,10.1,99.6,4.5,13.9,High Risk
Late Blight,22.4,91.4,11.4,88.2,5.2,12.1,High Risk
Late Blight,15.4,95.2,9.2,77.1,4.4,9.3,High Risk
Late Blight,14.2,98.8,14.5,73.1,4.0,9.4,High Risk
Late Blight,18.1,97.4,6.2,74.6,5.6,11.9,High Risk
Late Blight,12.1,97.0,5.0,77.4,1.6,7.9,High Risk
Late Blight,22.0,97.0,13.2,74.8,1.8,6.9,High Risk
Late Blight,11.1,93.6,4.1,75.6,8.6,8.8,High Risk
Late Blight,24.8,92.9,14.5,78.6,9.5,8.3,High Risk
Late Blight,21.6,98.1,1.2,75.2,3.7,8.4,High Risk
Late Blight,13.0,98.1,14.6,96.9,2.7,7.9,High Risk
Late Blight,10.1,98.7,1.6,72.4,6.4,6.3,High Risk
Late Blight,22.2,99.1,13.5,85.7,4.1,6.1,High Risk
Late Blight,20.6,95.1,8.4,82.3,0.3,13.9,High Risk
Late Blight,20.9,95.0,14.9,99.5,1.6,9.4,High Risk
Late Blight,21.6,98.0,2.0,73.4,7.2,9.1,High Risk
Late Blight,11.1,96.5,8.8,81.9,6.6,11.4,High Risk
Late Blight,15.4,97.0,14.6,99.1,0.3,7.7,High Risk
Late Blight,11.7,98.0,8.3,96.0,2.2,13.6,High Risk
Late Blight,22.9,98.9,9.8,94.5,2.3,12.3,High Risk
Late Blight,19.3,93.4,10.7,77.7,6.7,6.7,High Risk
Late Blight,15.0,93.8,7.4,75.1,0.2,9.3,High Risk
Late Blight,11.0,90.9,9.8,90.1,1.0,13.0,High Risk
Late Blight,14.7,95.8,9.2,97.9,8.0,13.6,High Risk
Late Blight,14.9,90.4,13.6,86.7,1.8,9.7,High Risk
Late Blight,20.9,94.7,1.6,87.1,6.5,10.9,High Risk
Late Blight,19.6,95.4,4.9,78.4,2.4,7.3,High Risk
Late Blight,23.3,92.9,14.3,93.1,1.0,13.9,High Risk
Late Blight,17.1,95.9,13.5,75.6,2.4,7.9,High Risk
Late Blight,11.8,90.3,7.4,79.7,7.2,13.5,High Risk
Late Blight,20.7,90.4,9.7,82.8,8.6,11.2,High Risk
Late Blight,21.4,98.2,4.9,85.2,8.3,10.9,High Risk
Late Blight,18.4,93.6,3.6,77.3,4.0,10.1,High Risk
Late Blight,21.6,91.3,7.5,73.4,6.7,7.8,High Risk
Late Blight,17.4,95.2,5.9,88.3,2.0,7.4,High Risk
Late Blight,17.8,97.7,9.2,78.7,2.9,7.8,High Risk
Late Blight,16.4,92.2,2.1,87.4,9.0,7.5,High Risk
Late Blight,10.4,96.2,14.6,74.6,0.1,12.2,High Risk
Late Blight,11.6,90.9,14.8,84.4,0.9,8.8,High Risk
Late Blight,10.5,90.5,10.8,86.0,2.1,6.5,High Risk
Late Blight,19.5,95.3,8.5,71.6,0.3,13.8,High Risk
Late Blight,14.7,95.4,5.3,80.1,1.8,13.1,High Risk
Late Blight,17.6,96.4,12.4,74.0,5.8,13.4,High Risk
Late Blight,23.6,97.3,10.6,71.9,4.2,14.0,High Risk
Late Blight,13.7,99.8,3.3,99.7,8.9,7.4,High Risk
Late Blight,16.2,95.2,13.8,79.7,8.2,9.2,High Risk
Late Blight,21.3,93.2,12.5,94.3,3.4,12.1,High Risk
Late Blight,13.4,98.0,14.3,77.6,2.6,11.6,High Risk
Late Blight,11.2,92.7,11.2,90.4,3.8,7.2,High Risk
Late Blight,14.3,94.4,9.6,92.8,5.9,12.5,High Risk
Late Blight,12.4,90.8,6.9,87.9,2.7,7.8,High Risk
Late Blight,23.9,90.3,14.1,84.1,6.2,7.8,High Risk
Late Blight,22.1,99.6,13.1,82.4,4.1,10.3,High Risk
Late Blight,19.5,98.4,1.6,80.5,5.5,10.7,High Risk
Late Blight,23.1,97.0,1.4,97.9,4.4,10.6,High Risk
Late Blight,22.1,94.1,6.3,94.9,2.9,6.7,High Risk
Late Blight,12.8,91.7,12.3,99.0,9.5,13.0,High Risk
Late Blight,23.4,91.6,14.8,73.7,7.6,8.1,High Risk
Late Blight,18.1,92.5,3.1,91.9,1.4,7.0,High Risk
Late Blight,22.1,95.5,9.3,98.2,8.7,13.1,High Risk
Late Blight,23.4,97.1,6.3,75.4,4.9,13.6,High Risk
Late Blight,14.8,96.6,14.6,72.0,8.9,12.9,High Risk
Late Blight,11.7,92.8,12.8,92.2,8.0,12.5,High Risk
Late Blight,13.4,99.5,12.7,87.2,4.3,11.2,High Risk
Late Blight,16.4,97.4,7.6,95.3,0.2,10.4,High Risk
Late Blight,22.3,95.5,6.8,74.2,2.7,6.7,High Risk
Late Blight,22.9,96.1,4.8,93.9,5.4,9.3,High Risk
Late Blight,10.1,94.2,1.8,76.0,6.3,9.0,High Risk
Late Blight,17.7,92.5,13.1,74.9,2.6,8.1,High Risk
Late Blight,16.3,93.6,12.4,74.9,1.4,11.8,High Risk
Late Blight,13.3,97.6,15.0,94.4,8.3,10.0,High Risk
Late Blight,11.8,90.1,15.0,90.0,9.8,6.6,High Risk
Late Blight,15.1,91.2,8.8,85.7,5.3,7.8,High Risk
Late Blight,24.1,90.5,11.8,80.8,1.7,11.5,High Risk
Late Blight,14.8,90.4,14.2,96.3,2.7,6.6,High Risk
Late Blight,17.8,98.6,12.9,81.8,0.2,12.8,High Risk
Late Blight,20.5,97.0,4.5,94.5,9.1,10.0,High Risk
Late Blight,15.5,94.7,7.3,83.2,1.2,9.8,High Risk
Late Blight,24.6,91.0,2.8,81.3,5.8,10.7,High Risk
Late Blight,24.4,94.9,14.4,83.9,2.7,12.6,High Risk
Late Blight,13.8,94.7,9.5,79.0,5.5,8.8,High Risk
Late Blight,17.5,91.7,4.2,92.4,6.5,11.4,High Risk
Late Blight,14.5,94.3,10.4,85.1,8.3,10.5,High Risk
Late Blight,14.3,94.0,9.7,77.0,2.1,8.1,High Risk
Late Blight,10.6,96.2,6.0,97.0,0.1,13.0,High Risk
Late Blight,19.1,96.4,2.6,81.5,1.4,12.4,High Risk
Late Blight,17.5,90.5,10.4,86.3,9.0,11.3,High Risk
Late Blight,10.8,93.7,8.3,97.2,8.7,12.8,High Risk
Late Blight,14.2,96.3,11.8,88.7,6.0,12.9,High Risk
Late Blight,23.6,95.0,8.3,73.5,6.0,11.7,High Risk
Late Blight,13.6,98.6,12.9,98.2,6.7,12.7,High Risk
Late Blight,12.2,96.6,8.7,88.8,1.8,11.6,High Risk
Late Blight,17.3,91.6,8.9,80.0,9.1,11.4,High Risk
Late Blight,24.8,90.7,13.3,74.2,4.2,10.9,High Risk
Late Blight,13.6,96.4,6.6,93.8,3.8,12.0,High Risk
Late Blight,20.1,90.3,2.9,88.6,5.2,7.3,High Risk
Late Blight,21.4,95.9,1.4,86.0,0.5,13.0,High Risk
Late Blight,13.6,99.4,11.6,96.8,1.7,13.0,High Risk
Late Blight,20.9,95.8,9.7,93.7,7.4,6.2,High Risk
Late Blight,15.5,93.9,10.9,74.6,0.8,12.6,High Risk
Late Blight,19.5,96.4,4.0,79.4,6.0,7.0,High Risk
Late Blight,19.5,94.6,2.9,77.5,2.5,8.7,High Risk
Late Blight,18.0,95.5,1.2,92.3,3.9,11.9,High Risk
Late Blight,11.4,99.4,5.9,71.0,2.9,7.3,High Risk
Late Blight,22.5,93.9,9.3,87.1,3.6,12.5,High Risk
Late Blight,14.8,99.6,6.5,92.9,7.2,12.7,High Risk
Late Blight,12.8,99.1,7.1,96.3,3.0,10.1,High Risk
Late Blight,10.6,92.0,13.7,80.3,5.7,6.1,High Risk
Late Blight,18.9,90.7,5.9,94.6,4.8,8.3,High Risk
Late Blight,20.2,91.0,8.2,73.3,6.6,10.9,High Risk
Late Blight,10.2,90.2,12.0,95.4,9.4,13.8,High Risk
Late Blight,17.7,90.9,6.6,73.8,7.3,11.1,High Risk
Late Blight,13.4,96.8,9.7,81.9,2.1,8.1,High Risk
Late Blight,19.7,90.7,13.1,93.9,0.3,11.1,High Risk
Late Blight,12.6,93.2,14.3,74.5,2.6,10.3,High Risk
Late Blight,20.4,98.4,3.1,76.9,6.0,12.2,High Risk
Late Blight,15.8,90.2,14.0,91.7,0.5,6.9,High Risk
Late Blight,24.1,98.1,7.9,91.6,5.0,12.1,High Risk
Late Blight,12.1,92.8,4.6,89.2,6.0,10.3,High Risk
Late Blight,15.1,91.2,7.4,90.8,3.3,13.7,High Risk
Late Blight,11.7,97.0,14.7,86.3,7.7,8.7,High Risk
Late Blight,23.9,96.3,7.9,77.6,1.1,11.1,High Risk
Late Blight,23.2,98.8,5.6,80.4,0.8,13.5,High Risk
Late Blight,13.9,97.4,9.9,75.4,7.3,6.8,High Risk
Late Blight,19.9,98.0,4.4,97.3,5.0,13.5,High Risk
Late Blight,22.3,92.8,2.1,87.5,6.9,11.5,High Risk
Late Blight,18.3,91.8,2.8,82.0,4.3,6.5,High Risk
Late Blight,17.9,97.5,2.8,83.9,2.5,8.4,High Risk
Late Blight,13.6,98.1,3.1,98.4,8.2,11.7,High Risk
Late Blight,11.4,99.9,2.9,74.6,8.0,6.5,High Risk
Late Blight,23.5,94.1,10.0,87.6,6.9,10.7,High Risk
Late Blight,23.5,93.7,3.5,85.2,2.7,8.8,High Risk
Late Blight,19.5,97.8,5.8,88.3,5.9,11.0,High Risk
Late Blight,15.1,93.4,13.6,70.5,3.6,6.4,High Risk
Late Blight,15.2,99.3,7.6,96.2,0.9,13.0,High Risk
Late Blight,20.9,98.6,10.3,98.0,9.2,13.8,High Risk
Late Blight,23.5,94.3,3.4,87.0,1.4,13.8,High Risk
Late Blight,23.3,97.5,3.7,90.9,9.5,12.0,High Risk
Late Blight,21.7,97.5,1.6,97.7,4.5,7.0,High Risk
Early Blight,30.1,68.3,2.7,88.3,7.6,9.9,Moderate Risk
Early Blight,24.2,68.4,3.9,79.5,7.5,5.6,Moderate Risk
Early Blight,24.2,65.7,3.0,64.1,14.1,7.1,Moderate Risk
Early Blight,26.6,79.7,4.2,61.9,7.5,5.2,Moderate Risk
Early Blight,27.9,78.3,1.6,64.0,7.7,8.7,Moderate Risk
Early Blight,30.2,74.5,5.7,81.0,12.6,9.6,Moderate Risk
Early Blight,29.5,81.9,1.6,76.5,9.5,6.4,Moderate Risk
Early Blight,27.6,81.1,8.2,57.4,12.8,9.3,Moderate Risk
Early Blight,26.2,76.7,3.1,57.0,5.7,6.5,Moderate Risk
Early Blight,32.0,82.4,5.9,53.9,9.9,9.6,Moderate Risk
Early Blight,27.4,69.1,8.9,76.4,5.3,8.8,Moderate Risk
Early Blight,27.6,67.2,6.9,80.6,5.6,9.0,Moderate Risk
Early Blight,25.3,70.4,5.8,60.6,14.1,5.1,Moderate Risk
Early Blight,30.4,66.1,3.9,50.8,6.4,9.8,Moderate Risk
Early Blight,29.5,75.6,4.0,53.3,10.3,8.6,Moderate Risk
Early Blight,25.8,83.7,7.0,88.7,9.1,6.5,Moderate Risk
Early Blight,24.7,65.8,9.9,61.8,8.5,9.1,Moderate Risk
Early Blight,29.4,67.4,7.0,80.8,14.0,6.4,Moderate Risk
Early Blight,29.2,74.0,6.0,75.0,5.2,9.4,Moderate Risk
Early Blight,26.2,83.7,7.6,65.3,11.6,5.6,Moderate Risk
Early Blight,31.6,71.3,5.2,58.2,14.6,8.5,Moderate Risk
Early Blight,25.2,75.1,1.5,54.9,10.6,7.7,Moderate Risk
Early Blight,27.5,65.8,6.1,74.6,14.4,5.5,Moderate Risk
Early Blight,31.5,68.0,9.6,81.0,5.5,6.2,Moderate Risk
Early Blight,27.4,84.7,2.6,75.8,9.2,5.1,Moderate Risk
Early Blight,29.1,84.3,7.2,71.2,7.6,7.3,Moderate Risk
Early Blight,27.2,65.1,2.8,51.7,12.3,6.5,Moderate Risk
Early Blight,26.2,84.0,5.8,88.7,14.8,8.0,Moderate Risk
Early Blight,31.9,77.8,1.9,81.9,7.6,6.5,Moderate Risk
Early Blight,27.3,82.4,5.1,61.7,11.5,6.5,Moderate Risk
Early Blight,31.2,74.1,7.8,89.2,7.0,8.7,Moderate Risk
Early Blight,25.8,75.3,4.1,74.1,10.7,5.2,Moderate Risk
Early Blight,25.7,74.8,7.0,73.3,9.6,9.5,Moderate Risk
Early Blight,24.2,78.3,8.2,79.9,14.7,9.3,Moderate Risk
Early Blight,29.2,67.8,9.3,82.5,11.1,8.3,Moderate Risk
Early Blight,26.9,65.6,3.1,76.3,8.5,8.0,Moderate Risk
Early Blight,30.9,71.2,4.6,55.1,6.1,9.5,Moderate Risk
Early Blight,27.8,79.1,2.4,63.5,6.5,5.9,Moderate Risk
Early Blight,31.7,69.0,9.9,87.1,7.3,5.4,Moderate Risk
Early Blight,25.5,78.5,9.3,59.0,7.5,6.2,Moderate Risk
Early Blight,30.9,84.4,5.9,64.9,13.5,9.0,Moderate Risk
Early Blight,30.2,66.9,8.6,67.3,10.6,5.2,Moderate Risk
Early Blight,30.2,78.5,5.7,67.6,10.2,7.9,Moderate Risk
Early Blight,30.8,73.9,6.6,74.5,6.1,10.0,Moderate Risk
Early Blight,30.1,82.4,1.8,87.7,13.6,9.3,Moderate Risk
Early Blight,29.0,68.5,7.8,59.6,12.2,7.6,Moderate Risk
Early Blight,25.0,78.9,2.1,54.9,5.7,5.3,Moderate Risk
Early Blight,24.3,81.8,8.4,57.9,12.1,9.2,Moderate Risk
Early Blight,31.4,83.9,8.0,85.5,10.4,8.0,Moderate Risk
Early Blight,28.9,78.7,7.4,75.8,5.8,5.6,Moderate Risk
Early Blight,30.4,74.9,1.3,61.4,9.6,5.5,Moderate Risk
Early Blight,27.9,77.4,3.7,82.6,9.8,9.5,Moderate Risk
Early Blight,24.9,82.4,3.4,84.5,6.7,8.3,Moderate Risk
Early Blight,25.0,76.4,4.2,83.9,14.5,9.1,Moderate Risk
Early Blight,29.5,65.6,1.8,86.8,13.5,9.4,Moderate Risk
Early Blight,27.4,83.6,9.4,60.1,11.7,7.9,Moderate Risk
Early Blight,25.6,78.8,6.0,80.2,9.6,7.6,Moderate Risk
Early Blight,27.9,78.5,3.7,68.4,9.1,7.2,Moderate Risk
Early Blight,24.5,69.3,4.6,83.7,11.5,6.6,Moderate Risk
Early Blight,28.7,78.2,5.0,79.1,10.5,7.2,Moderate Risk
Early Blight,26.2,72.9,6.4,81.1,5.6,8.9,Moderate Risk
Early Blight,30.4,78.0,5.6,76.2,10.1,8.0,Moderate Risk
Early Blight,26.5,67.1,9.3,57.1,13.1,9.5,Moderate Risk
Early Blight,27.6,78.2,5.5,71.8,9.6,7.2,Moderate Risk
Early Blight,24.1,85.0,9.9,89.4,5.5,8.0,Moderate Risk
Early Blight,24.6,66.0,8.7,87.5,12.9,8.2,Moderate Risk
Early Blight,27.1,84.5,2.9,51.7,7.0,8.0,Moderate Risk
Early Blight,27.8,73.1,9.4,56.6,7.6,8.5,Moderate Risk
Early Blight,28.8,82.4,2.0,55.3,6.6,6.2,Moderate Risk
Early Blight,26.3,80.6,8.4,79.0,8.3,7.6,Moderate Risk
Early Blight,29.6,76.3,4.4,82.7,12.6,5.5,Moderate Risk
Early Blight,30.9,79.8,8.9,58.5,10.2,6.9,Moderate Risk
Early Blight,30.2,82.6,8.8,70.2,7.0,7.4,Moderate Risk
Early Blight,24.3,73.1,8.3,83.6,13.8,8.3,Moderate Risk
Early Blight,27.8,71.5,8.1,79.3,13.8,9.8,Moderate Risk
Early Blight,24.8,78.4,3.7,71.7,13.7,8.0,Moderate Risk
Early Blight,25.9,81.2,1.7,73.6,7.4,8.7,Moderate Risk
Early Blight,31.9,80.2,4.6,70.3,9.5,7.5,Moderate Risk
Early Blight,25.1,81.0,2.6,61.9,14.8,8.2,Moderate Risk
Early Blight,28.0,73.7,7.3,72.6,12.7,5.4,Moderate Risk
Early Blight,28.9,81.4,4.1,77.6,5.3,6.3,Moderate Risk
Early Blight,29.6,67.4,9.8,84.9,5.7,6.8,Moderate Risk
Early Blight,28.5,75.9,6.8,75.5,9.6,7.4,Moderate Risk
Early Blight,24.1,65.1,8.4,80.4,14.1,5.2,Moderate Risk
Early Blight,26.6,71.5,2.2,56.4,10.4,5.7,Moderate Risk
Early Blight,28.1,72.3,8.8,68.5,10.0,6.4,Moderate Risk
Early Blight,24.7,72.9,9.3,50.4,6.1,9.9,Moderate Risk
Early Blight,26.8,78.9,5.4,59.9,11.6,6.7,Moderate Risk
Early Blight,24.3,72.8,6.5,79.1,13.2,7.4,Moderate Risk
Early Blight,24.6,74.0,7.9,89.7,8.8,6.0,Moderate Risk
Early Blight,27.2,69.8,2.6,54.0,12.8,8.1,Moderate Risk
Early Blight,25.1,72.5,5.5,66.1,14.6,6.4,Moderate Risk
Early Blight,28.5,69.5,4.6,82.0,7.0,6.0,Moderate Risk
Early Blight,29.5,66.5,2.3,58.2,10.2,7.6,Moderate Risk
Early Blight,30.4,77.1,4.3,72.2,7.9,5.0,Moderate Risk
Early Blight,25.6,78.4,1.6,79.3,12.9,5.0,Moderate Risk
Early Blight,25.3,77.4,1.2,74.6,10.8,6.1,Moderate Risk
Early Blight,24.8,74.3,2.2,57.5,11.3,5.2,Moderate Risk
Early Blight,29.1,72.6,9.7,64.2,13.0,5.5,Moderate Risk
Early Blight,29.7,82.3,5.9,81.4,9.0,6.7,Moderate Risk
Early Blight,24.3,75.4,9.7,72.2,14.2,9.0,Moderate Risk
Early Blight,31.5,74.6,4.9,50.2,10.3,7.9,Moderate Risk
Early Blight,24.4,65.5,3.8,80.4,6.6,7.6,Moderate Risk
Early Blight,28.3,71.8,5.6,51.4,12.0,6.5,Moderate Risk
Early Blight,29.7,72.6,5.0,79.8,12.9,9.7,Moderate Risk
Early Blight,31.0,73.0,2.0,58.1,8.2,7.0,Moderate Risk
Early Blight,29.7,76.6,6.8,88.3,13.6,5.4,Moderate Risk
Early Blight,30.4,75.7,2.9,64.7,14.1,8.1,Moderate Risk
Early Blight,26.7,77.2,6.6,63.1,7.8,5.6,Moderate Risk
Early Blight,30.5,80.3,6.9,56.0,14.8,6.7,Moderate Risk
Early Blight,24.6,81.3,2.4,62.2,6.4,7.5,Moderate Risk
Early Blight,31.2,79.4,1.6,85.1,7.0,9.4,Moderate Risk
Early Blight,28.4,84.1,8.0,89.9,6.8,7.5,Moderate Risk
Early Blight,30.5,65.4,5.1,64.7,13.9,8.5,Moderate Risk
Early Blight,27.6,68.9,1.5,67.9,11.5,10.0,Moderate Risk
Early Blight,29.1,65.2,10.0,78.9,6.5,5.7,Moderate Risk
Early Blight,28.2,77.9,1.5,85.4,9.4,6.4,Moderate Risk
Early Blight,29.9,83.0,7.3,73.7,11.2,7.0,Moderate Risk
Early Blight,24.7,69.9,9.9,65.7,5.8,7.1,Moderate Risk
Early Blight,24.5,83.5,3.2,66.5,13.8,7.1,Moderate Risk
Early Blight,26.0,66.2,2.3,77.8,13.0,9.5,Moderate Risk
Early Blight,25.3,83.7,2.1,50.1,10.1,8.6,Moderate Risk
Early Blight,31.0,72.0,3.7,74.8,14.7,8.0,Moderate Risk
Early Blight,25.8,67.0,1.9,64.2,9.2,6.5,Moderate Risk
Early Blight,31.8,74.7,7.2,81.8,14.8,9.1,Moderate Risk
Early Blight,26.7,70.1,1.6,53.7,11.7,9.8,Moderate Risk
Early Blight,25.5,70.7,5.6,73.5,11.3,9.1,Moderate Risk
Early Blight,30.3,71.1,10.0,69.2,6.7,5.0,Moderate Risk
Early Blight,29.3,81.1,8.3,75.7,13.8,8.2,Moderate Risk
Early Blight,28.0,75.8,6.5,52.6,9.3,5.3,Moderate Risk
Early Blight,28.4,71.2,3.8,73.2,6.6,6.3,Moderate Risk
Early Blight,29.8,77.2,6.6,72.5,5.1,5.3,Moderate Risk
